frame,start_year,birds_falling
0,-5000,0
1,-4990,0
2,-4980,0
3,-4971,0
4,-4961,0
5,-4951,0
6,-4942,0
7,-4932,0
8,-4922,0
9,-4912,0
10,-4902,0
11,-4893,0
12,-4883,0
13,-4873,0
14,-4864,0
15,-4854,0
16,-4844,0
17,-4834,0
18,-4824,0
19,-4815,0
20,-4805,0
21,-4795,0
22,-4786,0
23,-4776,0
24,-4766,0
25,-4756,0
26,-4746,0
27,-4737,0
28,-4727,0
29,-4717,0
30,-4708,0
31,-4698,0
32,-4688,0
33,-4678,0
34,-4668,0
35,-4659,0
36,-4649,0
37,-4639,0
38,-4630,0
39,-4620,0
40,-4610,0
41,-4600,0
42,-4590,0
43,-4581,0
44,-4571,0
45,-4561,0
46,-4552,0
47,-4542,0
48,-4532,0
49,-4522,0
50,-4512,0
51,-4503,0
52,-4493,0
53,-4483,0
54,-4474,0
55,-4464,0
56,-4454,0
57,-4444,0
58,-4434,0
59,-4425,0
60,-4415,0
61,-4405,0
62,-4396,0
63,-4386,0
64,-4376,0
65,-4366,0
66,-4356,0
67,-4347,0
68,-4337,0
69,-4327,0
70,-4318,0
71,-4308,0
72,-4298,0
73,-4288,0
74,-4278,0
75,-4269,0
76,-4259,0
77,-4249,0
78,-4240,0
79,-4230,0
80,-4220,0
81,-4210,0
82,-4200,0
83,-4191,0
84,-4181,0
85,-4171,0
86,-4162,0
87,-4152,0
88,-4142,0
89,-4132,0
90,-4122,0
91,-4113,0
92,-4103,0
93,-4093,0
94,-4084,0
95,-4074,0
96,-4064,0
97,-4054,0
98,-4044,0
99,-4035,0
100,-4025,0
101,-4015,0
102,-4006,1
103,-3996,0
104,-3986,0
105,-3976,0
106,-3966,0
107,-3957,0
108,-3947,0
109,-3937,0
110,-3928,0
111,-3918,0
112,-3908,0
113,-3898,0
114,-3888,0
115,-3879,1
116,-3869,0
117,-3859,0
118,-3850,0
119,-3840,0
120,-3830,0
121,-3820,0
122,-3810,0
123,-3801,0
124,-3791,0
125,-3781,0
126,-3772,0
127,-3762,0
128,-3752,0
129,-3742,0
130,-3732,0
131,-3723,0
132,-3713,0
133,-3703,0
134,-3694,0
135,-3684,0
136,-3674,0
137,-3664,0
138,-3654,0
139,-3645,0
140,-3635,0
141,-3625,0
142,-3616,0
143,-3606,0
144,-3596,0
145,-3586,0
146,-3576,0
147,-3567,0
148,-3557,0
149,-3547,0
150,-3538,0
151,-3528,0
152,-3518,0
153,-3508,0
154,-3498,0
155,-3489,0
156,-3479,0
157,-3469,0
158,-3460,0
159,-3450,0
160,-3440,1
161,-3430,0
162,-3420,0
163,-3411,0
164,-3401,0
165,-3391,0
166,-3382,0
167,-3372,0
168,-3362,0
169,-3352,0
170,-3342,0
171,-3333,0
172,-3323,0
173,-3313,0
174,-3304,0
175,-3294,0
176,-3284,0
177,-3274,0
178,-3264,0
179,-3255,2
180,-3245,0
181,-3235,0
182,-3226,0
183,-3216,0
184,-3206,0
185,-3196,0
186,-3186,0
187,-3177,0
188,-3167,0
189,-3157,0
190,-3148,0
191,-3138,0
192,-3128,0
193,-3118,0
194,-3108,0
195,-3099,0
196,-3089,0
197,-3079,0
198,-3070,0
199,-3060,0
200,-3050,0
201,-3040,0
202,-3030,0
203,-3021,0
204,-3011,0
205,-3001,0
206,-2992,0
207,-2982,0
208,-2972,0
209,-2962,1
210,-2952,0
211,-2943,0
212,-2933,0
213,-2923,0
214,-2914,0
215,-2904,0
216,-2894,0
217,-2884,0
218,-2874,0
219,-2865,0
220,-2855,0
221,-2845,0
222,-2836,0
223,-2826,0
224,-2816,0
225,-2806,0
226,-2796,0
227,-2787,0
228,-2777,0
229,-2767,0
230,-2758,0
231,-2748,0
232,-2738,0
233,-2728,1
234,-2718,0
235,-2709,0
236,-2699,0
237,-2689,0
238,-2680,0
239,-2670,0
240,-2660,0
241,-2650,0
242,-2640,0
243,-2631,0
244,-2621,0
245,-2611,0
246,-2602,0
247,-2592,0
248,-2582,0
249,-2572,0
250,-2562,0
251,-2553,0
252,-2543,0
253,-2533,0
254,-2524,0
255,-2514,0
256,-2504,0
257,-2494,0
258,-2484,0
259,-2475,2
260,-2465,0
261,-2455,0
262,-2446,0
263,-2436,0
264,-2426,0
265,-2416,0
266,-2406,0
267,-2397,0
268,-2387,0
269,-2377,0
270,-2368,0
271,-2358,0
272,-2348,0
273,-2338,0
274,-2328,0
275,-2319,0
276,-2309,1
277,-2299,0
278,-2290,0
279,-2280,0
280,-2270,0
281,-2260,0
282,-2250,0
283,-2241,0
284,-2231,0
285,-2221,0
286,-2212,0
287,-2202,0
288,-2192,0
289,-2182,0
290,-2172,1
291,-2163,0
