archip;species;common_name;ext_date;story
Palearctic;Aegypius Prepyrenaicus;-;NA;
Neotropic;Amplibuteo Hibbardi;-;NA;
Cuba;Amplibuteo Woodwardi;-;NA;
Nearctic;Anabernicula Gracilenta;-;NA;
Neotropic;Anas Amotape;-;NA;
Nearctic;Anas Itchtucknee;-;NA;
Neotropic;Anas Sanctahelenae;-;NA;
Nearctic;Anas Schneideri;-;NA;
Neotropic;Anas Talarae;-;NA;
Nearctic;Anhinga Beckeri;-;NA;
Nearctic;Asio Priscus;-;NA;
Nearctic;Belonopterus Downsi;-;NA;
Neotropic;Belonopterus Edmondi;-;NA;
Nearctic;Branta Dickeyi;-;NA;
Nearctic;Breagyps Clarki;-;NA;
Nearctic;Bubo Sinclairi;-;NA;
Neotropic;Buteo Hoffstetteri;-;NA;
Indo-Malay;Buteo Sanya;-;NA;
Cuba;Buteogallus Borrasi;-;NA;
Nearctic;Buteogallus Daggetti;-;NA;
Nearctic;Buteogallus Fragilis;-;NA;
Nearctic;Buteogallus Milleri;-;NA;
Neotropic;Buteogallus Terrestris;-;NA;
Neotropic;Caprimulgus Piurensis;-;NA;
Neotropic;Caracara Major;-;NA;
Neotropic;Caracara Seymouri;-;NA;
Neotropic;Caracara Sp./Buenosaires;-;NA;
Nearctic;Cathartornis Gracilis;-;NA;
Australasia;Centropus Colossus;-;NA;
Neotropic;Ciconia Lydekkeri;-;NA;
Nearctic;Cistothorus Brevis;-;NA;
Palearctic;Corvus Fangshannus;-;NA;
Nearctic;Corvus Neomexicanus;-;NA;
Nearctic;Cremaster Tytthus;-;NA;
Nearctic;Dendragapus Gilli;-;NA;
Neotropic;Eudocimus Peruvianus;-;NA;
Nearctic;Euphagus Magnirostris;-;NA;
Nearctic;Fratercula Dowi;-;NA;
Cuba;Gallinago Kakuki;-;NA;
Australasia;Genyornis Newtoni;-;NA;
Neotropic;Geronogyps Reliquus;-;NA;
Cuba;Gigantohierax Suarezi;-;NA;
Nearctic;Grus Pagei;-;NA;
Nearctic;Gymnogyps Amplus;-;NA;
Neotropic;Gymnogyps Howardae;-;NA;
Nearctic;Henocitta Brodkorbii;-;NA;
Nearctic;Meleagris Californicus;-;NA;
Nearctic;Meleagris Crassipes;-;NA;
Neotropic;Micropalama Chapmani;-;NA;
Neotropic;Milvago Brodkorbi;-;NA;
Neotropic;Mitu Mitu;-;1988;
Nearctic;Morus Reyana;-;NA;
Cuba;Mycteria Wetmorei;-;NA;
Neotropic;Nannonetta Invisitata;-;NA;
Neotropic;Neochen Pugil;-;NA;
Nearctic;Neogyps Errans;-;NA;
Nearctic;Neophrontops Americanus;-;NA;
Nearctic;Neortyx Peninsularis;-;NA;
Nearctic;Numenius Victima;-;NA;
Neotropic;Nuntius Solitarius;-;NA;
Australasia;Ocyplanus Proeses;-;NA;
Neotropic;Oreopholus Orcesi;-;NA;
Australasia;Orthonyx Hypsilophus;-;NA;
Australasia;Orthonyx Wakefieldi;-;NA;
Neotropic;Pampagyps Imperator;-;NA;
Nearctic;Pandanaris Convexa;-;NA;
Nearctic;Pandanaris Floridana;-;NA;
Australasia;Pelecanus Cadimurka;-;NA;
Falkland;Phalcoboenus Napieri;-;NA;
Palearctic;Phasianus Yanshansis;-;NA;
Nearctic;Phoenicopterus Copei;-;NA;
Neotropic;Phorusrhacidae Sp./Uruguay;-;NA;
Nearctic;Pipilo Angelensis;-;NA;
Neotropic;Pleistovultur Nevesi;-;NA;
Neotropic;Podiceps Andinus;-;1977;
Nearctic;Podilymbus Wetmorei;-;NA;
Neotropic;Pseudoseisuropsis Cuelloi;-;NA;
Neotropic;Psilopterus Sp./Uruguay;-;NA;
Australasia;Pycnoptilus Fordi;-;NA;
Nearctic;Pyelorhamphus Molothroides;-;NA;
Nearctic;Rallus Natator;-;NA;
Neotropic;Sarcoramphus Fisheri;-;NA;
Nearctic;Spizaetus Grinnelli;-;NA;
Nearctic;Spizaetus Willetti;-;NA;
Neotropic;Steganopus Graui;-;NA;
Nearctic;Strix Brea;-;NA;
Palearctic;Struthio Anderssoni;-;NA;
Neotropic;Syrigma Sanctimartini;-;NA;
Nearctic;Tachycineta Speleodytes;-;NA;
Nearctic;Teratornis Merriami;-;NA;
Nearctic;Teratornis Woodburnensis;-;NA;
Palearctic;Tetrastes Daliannsis;-;NA;
Neotropic;Theristicus Wetmorei;-;NA;
Neotropic;Thinocorus Koepckeae;-;NA;
Hispaniola;Titanohierax Sp./Hispaniola;-;NA;
Neotropic;Tringa Ameghini;-;NA;
Nearctic;Tympanuchus Ceres;-;NA;
Neotropic;Viator Picis;-;NA;
Neotropic;Wingegyps Cartellei;-;NA;
Australasia;Xenorhynchopsis Minor;-;NA;
Australasia;Xenorhynchopsis Tibialis;-;NA;
Bahamas;Forpus Sp./Abaco;Abaco Parrtolet;NA;
Mariana;Zapornia Sp./Aguijan;Aguijan Crake;NA;
Mariana;Gallirallus Pisonii;Aguijan Rail;NA;
Mariana;Acrocephalus Nijoi;Aguijan Reed-Warbler;1995;This small bird lived on the island of Aguijan in the Pacific and helped control insects. Its songs were a common sound in the island's forests. It disappeared due to habitat loss and invasive species.
Cook;Cf.Dendrocygna Sp./Aitutaki;Aitutaki Whistling Duck;NA;
Neotropic;Philydor Novaesi;Alagoas Foliage-Gleaner;2011;Endemic to Brazil's Atlantic Forest, this bird played a crucial role in preserving the ecosystem. Its extinction highlights the destructive impact of colonial-driven deforestation and agricultural monocultures on local biodiversity.
Madagascar;Tachybaptus Rufolavatus;Alaotra Grebe;1985;Thriving in Madagascar's Lake Alaotra, this bird's loss reflects the devastating effects of colonial agricultural expansion and the introduction of invasive species on traditional Malagasy ecosystems.
Outer;Nesillas Aldabrana;Aldabra Brush-Warbler;1983;This bird from Aldabra Atoll fed on insects and was known for its subtle, melodic calls. Habitat changes and introduced species led to its decline.
Hawaii;Myadestes Woahensis;Amaui Or Oahu Thrush;1825;
Madagascar;Brachypteracias Langrandi;Ampoza Ground Roller;NA;
Amsterdam;Anas Marecula;Amsterdam Island Duck;1800;This unique waterfowl thrived on Amsterdam Island in the southern Indian Ocean. Known for its peaceful demeanor, it glided gracefully across ponds. Habitat loss from human settlement and introduced predators caused its extinction.
Madagascar;Coua Primaeva;Ancient Coua;NA;
Neotropic;Atlapetes Blancae;Antioquia Brush-Finch;NA;
Ascension;Mundia Elpenor;Ascension Crake;NA;
Ascension;Nycticorax Olsoni;Ascension Night Heron;NA;
Nearctic;Podilymbus Gigas;Atitlan Grebe;1986;"""Known locally as """"poc,"""" this bird was a cultural and ecological symbol of Lake Atitl'n. Its extinction underscores the colonial exploitation of natural resources and the marginalization of Indigenous conservation practices."
Auckland;Mergus Australis;Auckland Island Merganser;1902;A rare sea duck from New Zealand, it lived in rocky streams and had striking reddish-brown plumage. Introduced predators and habitat loss caused its decline.
Azores;Fringilla Sp./Azores;Azores Chaffinch;NA;
Azores;Pyrrhula Crassa;Azores Large Bullfinch;NA;
Azores;Turdus Sp./Azores;Azores Thrush;NA;
Azores;Troglodytidae Sp./Azores;Azores Troglodytidae;NA;
Nearctic;Vermivora Bachmanii;Bachman'S Warbler;NA;
Bahamas;Titanohierax Gloveralleni;Bahama Eagle;NA;
Bahamas;Gallinago Sp./Bahama;Bahama Snipe;NA;
Cuba;Caracara Creightoni;Bahaman Caracara;NA;
Cuba;Tyto Pollens;Bahamian Barn Owl;NA;
Windward;Neochen Barbadiana;Barbados Goose;NA;
Fiji;Hypotaenidia Poeciloptera;Bar-Winged Rail;1973;A flightless bird from Pacific islands, it symbolized adaptability within its habitat. Colonial-era species introductions, like cats and rats, disrupted its ecological niche, leading to its extinction.
Bermuda;Grus Latipes;Bermuda Crane;NA;
Bermuda;Colaptes Oceanicus;Bermuda Flicker;1623;This woodpecker, native to Bermuda, was known for its rhythmic drumming on tree trunks and vibrant plumage. It thrived in the island's lush forests, feeding on insects. Habitat destruction and introduced predators drove it to extinction.
Bermuda;Anas Pachyscelus;Bermuda Flightless Duck;NA;
Bermuda;Bermuteo Avivorus;Bermuda Hawk;NA;
Bermuda;Nyctanassa Carcinocatactes;Bermuda Night Heron;1600;
Bermuda;Rallus Recessus;Bermuda Rail;NA;
Bermuda;Aegolius Gradyi;Bermuda Saw-Whet Owl;1600;
Bermuda;Pipilo Naufragus;Bermuda Towhee;1612;
Madagascar;Coua Berthae;Bertha'S Coua;NA;
Hawaii;Moho Bishopi;Bishop'S Oo;1981;This Hawaiian honeycreeper had bright yellow and black plumage and helped pollinate native plants. Its high-pitched, flute-like songs once echoed across Hawaiian forests. Avian diseases caused its extinction.
Hawaii;Drepanis Funerea;Black Mamo;1907;A Hawaiian bird with glossy black feathers and a long, curved bill, it pollinated flowers and fed on nectar. Habitat destruction and diseases led to its extinction.
Society;Cyanoramphus Zealandicus;Black-Fronted Parakeet;1850;
Bonin;Carpodacus Ferreorostris;Bonin Grosbeak;1900;A large bird from Japan's Bonin Islands, it had a strong beak for cracking seeds. Habitat loss and hunting caused its decline.
Bonin;Zoothera Terrestris;Bonin Thrush;1889;
Bonin;Columba Versicolor;Bonin Wood Pigeon;1889;
Bahamas;Chlorostilbon Bracei;Brace'S Emerald;1900;A tiny, vibrant hummingbird from the Bahamas, it fed on flowers and insects. Overhunting and habitat loss led to its disappearance.
Mariana;Zosterops Conspicillatus;Bridled White-Eye;1983;This tiny green bird with white around its eyes lived on Guam. It fed on nectar and insects, playing a key role in pollinating native plants. Its cheerful chirps were once a common sound on the island. The introduction of snakes to Guam led to its extinction.
Solomon;Pareudiastes Sp./Buka;Buka Gallinule;NA;
Aotearoa New Zealand;Anomalopteryx Didiformis;Bush Moa;NA;
Aotearoa New Zealand;Anomalopteryx Didiformis;Bush Moa;NA;
Aotearoa New Zealand;Xenicus Longipes;Bush Wren;1972;This tiny bird from New Zealand had sharp calls and could dart quickly between shrubs. It was one of the few birds to adapt to dense, low vegetation. Habitat destruction and introduced predators led to its extinction.
Canaries;Haematopus Meadewaldoi;Canary Islands Oystercatcher;1950;Feeding along coastal shores, this bird played a key role in marine ecosystems. Its extinction was driven by overfishing and habitat destruction.
Canaries;Pterodroma Sp./Hierro;Canary Islands Petrel;NA;
Canaries;Coturnix Gomerae;Canary Islands Quail;NA;
Canaries;Coturnix Gomerae;Canary Islands Quail;NA;
Canaries;Erithacus Sp./Canaries;Canary Robin;NA;
Canaries;Turdus Sp./Canaries;Canary Thrush;NA;
Nearctic;Conuropsis Carolinensis;Carolina Parakeet;1918;The only native parrot in the U.S., it had vibrant green and yellow feathers. It was often seen in flocks and was admired for its playful nature. Habitat destruction and hunting led to its extinction.
Cuba;Melopyrrha Latirostris;Cayman Finch;NA;
