archip;common_name;species;iucn_category_2021;description;story
None;Abd Al Kuri Sparrow;Passer Hemileucus;VU;Vulnerable;
None;Aberdare Cisticola;Cisticola Aberdare;VU;Vulnerable;
None;Abyssinian Longclaw;Macronyx Flavicollis;NT;Near Threatened;
None;Acre Tody-Tyrant;Hemitriccus Cohnhafti;NT;Near Threatened;
None;African Houbara;Chlamydotis Undulata;VU;Vulnerable;
None;Agami Heron;Agamia Agami;VU;Vulnerable;
None;Ainley'S Storm-Petrel;Hydrobates Cheimomnestes;VU;Vulnerable;
None;Akekee;Loxops Caeruleirostris;CR;Critically Endangered;
None;Akikiki;Oreomystis Bairdi;CR;Critically Endangered;
None;Akohekohe;Palmeria Dolei;CR;Critically Endangered;
None;Ala Shan Redstart;Phoenicurus Alaschanicus;NT;Near Threatened;
None;Abbott'S Booby;Papasula Abbotti;EN;Endangered;Perched atop the towering trees of Christmas Island, this seabird showcases a striking contrast of black-and-white plumage with piercing eyes. Once widespread, its nesting habitat has been severely reduced by phosphate mining and invasive species like yellow crazy ants. Conservation efforts have stabilized its population, but it remains critically endangered.
None;Alagoas Antwren;Myrmotherula Snowi;CR;Critically Endangered;
None;Alagoas Tyrannulet;Phylloscartes Ceciliae;CR;Critically Endangered;
None;Albertine Owlet;Glaucidium Albertinum;VU;Vulnerable;
None;Albert'S Lyrebird;Menura Alberti;NT;Near Threatened;
None;Abbott'S Starling;Poeoptera Femoralis;EN;Endangered;With its glossy, dark plumage and sociable nature, this East African bird often flocks near fruiting trees. Its cheerful chirps are becoming rarer as its highland habitats shrink due to agriculture. Without conservation efforts, this little starling risks disappearing from the forests forever.
None;Aldabra Drongo;Dicrurus Aldabranus;NT;Near Threatened;
None;Aleutian Tern;Onychoprion Aleuticus;VU;Vulnerable;
None;Alexandrine Parakeet;Palaeornis Eupatria;NT;Near Threatened;
None;Allpahuayo Antbird;Percnostola Arenarum;VU;Vulnerable;
None;Altamira Yellowthroat;Geothlypis Flavovelata;VU;Vulnerable;
None;Amami Jay;Garrulus Lidthi;VU;Vulnerable;
None;Amami Thrush;Zoothera Major;NT;Near Threatened;
None;Amami Woodcock;Scolopax Mira;VU;Vulnerable;
None;Amami Woodpecker;Dendrocopos Owstoni;NT;Near Threatened;
None;Ambon White-Eye;Zosterops Kuehni;NT;Near Threatened;
None;Aceh Bulbul;Pycnonotus Snouckaerti;EN;Endangered;With olive-green plumage and a melodic, fluty song, this Sumatra native is a hidden gem in the rainforest. Its beautiful habitat, however, is being torn apart by deforestation for palm oil plantations. This bird's survival depends on the protection of its rapidly vanishing home.
None;Anambra Waxbill;Estrilda Poliopareia;NT;Near Threatened;
None;Andaman Cuckooshrike;Coracina Dobsoni;NT;Near Threatened;
None;Andaman Green-Pigeon;Treron Chloropterus;NT;Near Threatened;
None;African Penguin;Spheniscus Demersus;EN;Endangered;Known for its donkey-like braying calls, this charming penguin with black spots on its chest thrives along the rocky shores of southern Africa. Overfishing and oil spills have devastated its food supply, leaving colonies to dwindle. It is now a symbol of marine conservation in the region.
None;Andaman Serpent-Eagle;Spilornis Elgini;VU;Vulnerable;
None;Andaman Teal;Anas Albogularis;VU;Vulnerable;
None;Andaman Treepie;Dendrocitta Bayleii;VU;Vulnerable;
None;Andaman Woodpecker;Dryocopus Hodgei;VU;Vulnerable;
None;Andaman Woodpigeon;Columba Palumboides;NT;Near Threatened;
None;Andean Condor;Vultur Gryphus;VU;Vulnerable;
None;Akiapolaau;Hemignathus Wilsoni;EN;Endangered;This Hawaiian honeycreeper, with its unique dual-purpose beak, is both a carpenter and a forager, hammering into wood and probing for insects. Its cheerful whistles once filled the Hawaiian forests, but habitat destruction and avian malaria have drastically reduced its numbers. Conservationists are racing to save this one-of-a-kind species.
None;Andean Flamingo;Phoenicoparrus Andinus;VU;Vulnerable;
None;Aldabra Fody;Foudia Aldabrana;EN;Endangered;Bright yellow feathers and a bold black mask make this small bird a standout on the isolated Aldabra Atoll. Its cheerful chirps fill the air, a sound synonymous with the atoll's pristine beauty. However, the introduction of invasive species threatens the delicate balance of its island ecosystem.
None;Andean Ibis;Theristicus Branickii;NT;Near Threatened;
None;Andean Mourner;Laniisoma Buckleyi;NT;Near Threatened;
None;Andre'S Swift;Chaetura Andrei;VU;Vulnerable;
None;Angola Greenbul;Phyllastrephus Viridiceps;VU;Vulnerable;
None;Anianiau;Magumma Parva;VU;Vulnerable;
None;Ankober Serin;Crithagra Ankoberensis;VU;Vulnerable;
None;Algerian Nuthatch;Sitta Ledanti;EN;Endangered;With its slate-gray plumage and contrasting white belly, this bird blends seamlessly into the ancient cedar forests of Algeria's Kabylie Mountains. Its sharp, piercing calls echo through the trees, a reminder of its dwindling numbers. Forest fires, logging, and habitat fragmentation continue to push this species closer to extinction, threatening a symbol of Algeria's natural heritage.
None;Amani Sunbird;Hedydipna Pallidigaster;EN;Endangered;Its iridescent green feathers shimmer in the sunlight as it darts between flowers in Tanzania's forests. A high-pitched, metallic trill announces its presence in the dense canopy. Logging and climate change threaten the blooming flowers that sustain this nectar-loving bird.
None;Annobon Scops-Owl;Otus Feae;CR;Critically Endangered;
None;Alagoas Curassow;Mitu Mitu;EW;Extinct in the Wild;Once a proud inhabitant of the lush rainforests of Brazil, the Alagoas Curassow is now considered extinct in the wild. Known for its striking black plumage and white-tipped tail, this bird was revered by locals for its elegance. Habitat destruction and hunting pushed it to the brink, but captive breeding programs offer a glimmer of hope for its survival.
None;Annobon White-Eye;Zosterops Griseovirescens;VU;Vulnerable;
None;Antioquia Bristle-Tyrant;Pogonotriccus Lanyoni;EN;Endangered;
None;Antioquia Brush-Finch;Atlapetes Blancae;CR;Critically Endangered;
None;Amber Mountain Rock-Thrush;Monticola Erythronotus;EN;Endangered;Sporting vibrant orange and blue plumage, this Madagascan bird inhabits the high-altitude forests of Amber Mountain. It sings melodious tunes at dawn, filling the crisp air with its voice. Encroaching agriculture and deforestation threaten its delicate habitat.
None;Antipodes Parakeet;Cyanoramphus Unicolor;VU;Vulnerable;
None;Apo Myna;Goodfellowia Miranda;NT;Near Threatened;
None;Appert'S Tetraka;Xanthomixis Apperti;VU;Vulnerable;
None;Apurimac Spinetail;Synallaxis Courseni;VU;Vulnerable;
None;Aquatic Warbler;Acrocephalus Paludicola;VU;Vulnerable;
None;Arabian Bustard;Ardeotis Arabs;NT;Near Threatened;
None;Arabian Grosbeak;Rhynchostruthus Percivali;NT;Near Threatened;
None;Arabian Woodpecker;Dendropicos Dorae;NT;Near Threatened;
None;Araucaria Tit-Spinetail;Leptasthenura Setaria;NT;Near Threatened;
None;Archbold'S Bowerbird;Archboldia Papuensis;NT;Near Threatened;
None;Amsterdam Albatross;Diomedea Amsterdamensis;EN;Endangered;With a wingspan exceeding three meters, this majestic albatross glides over the Southern Ocean, returning to the tiny Amsterdam Island to breed. Its white and dark plumage mirrors the dramatic landscapes it calls home. Fishing lines and climate change pose significant threats to its survival.
None;Ascension Frigatebird;Fregata Aquila;VU;Vulnerable;
None;Ashambu Chilappan;Montecincla Meridionalis;VU;Vulnerable;
None;Ash-Breasted Antbird;Myrmoborus Lugubris;VU;Vulnerable;
None;Anjouan Scops-Owl;Otus Capnodes;EN;Endangered;A nocturnal treasure of the Comoros Islands, this owl's eerie hoots echo through the forest. Once thought extinct, it was rediscovered in 1992, sparking hope for its survival. Logging and habitat loss remain major concerns for this enigmatic bird.
None;Ash-Browed Spinetail;Cranioleuca Curtata;VU;Vulnerable;
None;Ash-Throated Antwren;Herpsilochmus Parkeri;EN;Endangered;
None;Ashy Storm-Petrel;Hydrobates Homochroa;EN;Endangered;
None;Ashy Thrush;Geokichla Cinerea;VU;Vulnerable;
None;Ashy-Breasted Flycatcher;Muscicapa Randi;VU;Vulnerable;
None;Ashy-Headed Green-Pigeon;Treron Phayrei;NT;Near Threatened;
None;Ashy-Headed Laughingthrush;Argya Cinereifrons;VU;Vulnerable;
None;Asian Dowitcher;Limnodromus Semipalmatus;NT;Near Threatened;
None;Asian Golden Weaver;Ploceus Hypoxanthus;NT;Near Threatened;
None;Asian Houbara;Chlamydotis Macqueenii;VU;Vulnerable;
None;Asian Woollyneck;Ciconia Episcopus;NT;Near Threatened;
None;Atiu Swiftlet;Aerodramus Sawtelli;VU;Vulnerable;
None;Atlantic Black-Breasted Woodpecker;Celeus Tinnunculus;VU;Vulnerable;
None;Atlantic Puffin;Fratercula Arctica;VU;Vulnerable;
None;Atlantic Royal Flycatcher;Onychorhynchus Swainsoni;VU;Vulnerable;
None;Atlantic Woodcreeper;Xiphorhynchus Atlanticus;VU;Vulnerable;
None;Antioquia Wren;Thryophilus Sernai;EN;Endangered;Endemic to Colombia, this wren's song is a lively melody that enlivens the dry forests of the Cauca Valley. Its subtle gray and brown plumage blends seamlessly with its environment. Deforestation for cattle ranching has driven this bird to critically low numbers.
None;Atoll Fruit-Dove;Ptilinopus Coralensis;NT;Near Threatened;
None;Antipodean Albatross;Diomedea Antipodensis;EN;Endangered;With its immense wingspan and striking plumage, this bird is a symbol of oceanic freedom. Its haunting cries carry over vast oceanic expanses, guiding it back to its nesting grounds on remote islands. Overfishing, bycatch, and climate change-induced shifts in prey availability threaten its survival.
None;Atoll Starling;Aplonis Feadensis;NT;Near Threatened;
None;Auckland Rail;Lewinia Muelleri;VU;Vulnerable;
None;Auckland Shag;Leucocarbo Colensoi;VU;Vulnerable;
None;Auckland Snipe;Coenocorypha Aucklandica;NT;Near Threatened;
None;Auckland Teal;Anas Aucklandica;NT;Near Threatened;
None;Apolinar'S Wren;Cistothorus Apolinari;EN;Endangered;This tiny wren's melodious trills resonate through the wetlands of Colombia, a soothing echo of its watery surroundings. Its reddish-brown plumage blends into reeds, providing it with a measure of safety. Wetland drainage for agriculture, however, has drastically reduced its habitat, putting this delicate singer at risk.
None;Araripe Manakin;Antilophia Bokermanni;CR;Critically Endangered;A striking bird from Brazil with a vivid red crown and silky white body, it was once revered by locals for its beauty. Deforestation of its small range has left it critically endangered.
None;Audouin'S Gull;Larus Audouinii;VU;Vulnerable;
None;Apolo Cotinga;Phibalura Boliviana;EN;Endangered;This rare bird of Bolivia flaunts a blend of deep blues and purples that shimmer in the forest's dappled light. Known for its quiet demeanor, it often remains hidden in the dense canopy. Expanding agricultural frontiers are rapidly fragmenting its habitat, leaving it vulnerable to extinction.
None;Ariel Toucan;Ramphastos Ariel;EN;Endangered;This toucan's vividly colored beak is not just a tool for feeding but a symbol of tropical biodiversity. Its harsh croaks echo through rainforests, where it plays a key role in seed dispersal. The illegal pet trade and habitat loss have significantly diminished its once-abundant numbers.
None;Ash-Breasted Tit-Tyrant;Anairetes Alpinus;EN;Endangered;This diminutive bird sports soft, ash-colored feathers and an expressive white eye-ring, giving it a curious appearance. It emits a rapid series of high-pitched chirps, which can be heard flitting through the high-altitude shrublands of the Andes. Sadly, expanding agriculture and grazing lands have reduced its habitat, placing it in a precarious position.
None;Austen'S Brown Hornbill;Anorrhinus Austeni;NT;Near Threatened;
